model,filename,start line,end line,detect?,use fallback?,iteration,compile?,test,usefulness
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/CommandStackImpl.java,39,43,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/diagram/GraphChangeAdapter.java,92,96,yes,no,no,yes,no,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/diagram/ui/InitDiagramAppearanceUI.java,61,66,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/providers/java/NotationUtilityJava.java,119,124,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/util/namespace/StringNamespace.java,99,103,yes,no,no,,,no
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLExpressionModel.java,106,110,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java,872,877,yes,no,no,no,,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/ui/UMLStereotypeListModel.java,520,524,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/ui/UMLModelElementListModel2.java,523,527,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/providers/uml/AttributeNotationUml.java,463,468,no,yes,3,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CollaborationsHelperMDRImpl.java,376,380,no,yes,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/UseCasesHelperEUMLImpl.java,138,143,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/CoreHelperEUMLImpl.java,1134,1138,no,yes,no,no,,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/diagram/ArgoDiagramImpl.java,268,273,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/cognitive/Critic.java,646,651,yes,no,no,yes,no,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/providers/java/NotationUtilityJava.java,144,149,no,no,no,,,
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/NotationSettings.java,380,385,yes,no,no,yes,no,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/NotationSettings.java,233,238,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/persistence/PersistenceManager.java,253,258,yes,no,no,yes,no,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/diagram/static_structure/ui/FigLink.java,163,168,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/StateMachinesHelperEUMLImpl.java,108,113,yes,no,no,,,no
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/DataTypesFactoryMDRImpl.java,127,133,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/cognitive/ToDoItem.java,424,430,yes,no,no,,,no
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/UndoCoreHelperDecorator.java,213,217,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java,766,771,yes,no,no,no,,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/persistence/ArgoParser.java,410,414,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ActivityGraphsFactoryMDRImpl.java,88,93,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ExtensionMechanismsFactoryMDRImpl.java,92,97,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/UseCasesFactoryMDRImpl.java,81,86,yes,no,no,,,no
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/cognitive/ToDoList.java,698,702,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/ui/explorer/PerspectiveManager.java,200,205,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CollaborationsFactoryMDRImpl.java,93,98,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CommonBehaviorFactoryMDRImpl.java,111,116,yes,no,no,yes,no,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CoreFactoryMDRImpl.java,162,167,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ModelManagementFactoryMDRImpl.java,128,133,yes,no,2,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/StateMachinesFactoryMDRImpl.java,114,118,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/NotationSettings.java,269,274,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/diagram/ui/FigAssociation.java,283,288,yes,no,1,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/profile/internal/ocl/OclInterpreter.java,123,127,yes,no,3,yes,yes,yes
,/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/UndoCoreHelperDecorator.java,231,235,yes,no,no,,,no
,,,,,,,,,
,/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/ui/TabProps.java,401,410,yes,no,1,yes,yes,yes
