Pair ID (Jfreechart),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,JDeodorant
56-1-2,1,1,1,1
61-1-2,1,1,1,1
72-1-2,1,1,1,1
79-1-2,1,1,1,1
84-1-2,1,1,1,1
94-1-2,1,1,1,1
97-1-2,1,1,1,1
105-1-2,1,1,1,1
114-1-2,1,1,1,1
128-1-2,1,1,1,1
141-1-2,1,1,1,1
148-1-2,1,1,1,1
172-1-2,1,1,1,1
197-1-2,1,1,1,1
237-1-2,0,,0,1
241-1-2,1,1,1,1
281-1-2,1,1,1,1
287-1-3,0,,0,1
300-1-3,0,,0,1
329-1-2,1,1,1,1
359-1-2,1,1,1,1
397-1-2,1,1,1,1
398-1-2,1,1,1,1
399-1-2,1,1,1,1
439-1-2,1,1,1,1
490-1-2,1,1,1,1
497-1-2,1,1,1,1
539-1-2,1,1,1,1
545-1-2,1,1,1,1
719-1-2,1,1,1,1
753-1-2,1,1,1,1
754-1-3,1,1,1,1
843-1-2,1,1,1,1
971-1-3,0,,0,1
974-1-3,0,,0,1
1013-3-4,0,,0,1
1020-1-2,1,1,1,1
1023-1-3,1,1,1,1
1023-2-4,1,1,1,1
1035-1-3,1,1,1,1
1039-2-7,1,1,1,1
1039-3-8,1,1,1,1
1041-1-2,1,1,1,1
1044-1-2,1,1,1,1
1085-1-2,1,1,1,1
1130-2-7,1,1,1,1
1130-3-8,1,1,1,1
1136-1-2,1,1,1,1
1136-1-3,1,1,1,1
1136-2-3,1,1,1,1
1145-1-2,1,1,1,1
1148-2-3,1,1,1,1
1154-1-2,1,1,0,1
1159-1-2,1,1,1,1
1161-2-7,1,1,1,1
1161-4-8,1,1,1,1
1178-1-2,1,1,1,1
1178-1-3,1,1,1,1
1183-1-2,1,1,1,1
1229-1-3,1,1,1,1
1229-2-4,1,1,1,1
1258-2-4,1,1,1,1
1323-1-2,1,1,1,1
1351-1-2,1,1,1,1
1360-1-2,1,1,1,1
1373-3-5,1,1,1,1
1389-1-2,1,1,1,1
1400-1-2,1,1,1,1
1400-1-3,1,1,1,1
1400-1-4,1,1,1,1
1400-1-5,1,1,1,1
1400-1-6,1,1,1,1
1400-1-7,1,1,1,1
1400-2-3,1,1,1,1
1400-2-4,1,1,1,1
1400-2-5,1,1,1,1
1400-2-6,1,1,1,1
1400-2-7,1,1,1,1
1400-3-5,1,1,1,1
1400-3-6,1,1,1,1
1400-3-7,1,1,1,1
1400-4-5,1,1,1,1
1400-4-6,1,1,1,1
1400-4-7,1,1,1,1
1400-5-7,1,1,1,1
1400-6-7,1,1,1,1
1401-1-2,1,1,1,1
1414-1-2,1,1,1,1
1414-1-3,1,1,1,1
1414-2-3,1,1,1,1
1428-1-3,1,1,1,1
1428-2-4,1,1,1,1
1460-1-3,1,1,1,1
1460-2-3,1,1,1,1
1460-3-4,1,1,1,1
1460-3-5 ,1,1,1,1
1460-3-6,1,1,1,1
1460-3-7,1,1,1,1
1460-3-8,1,1,1,1
1466-1-3,1,1,1,1
1466-2-4,1,1,1,1
1467-1-2,1,1,1,1
1467-4-9,1,1,1,1
1467-4-11,1,1,1,1
1467-5-7,1,1,1,1
1467-5-8,1,1,1,1
1467-5-10,1,1,1,1
1467-6-9,1,1,1,1
1467-6-11,1,1,1,1
1490-1-2,1,1,1,1
1490-3-4,1,1,1,1
1515-2-3,1,1,1,1
1516-1-2,1,1,1,1
1538-3-4,1,1,1,1
1548-1-3,1,1,1,1
1549-1-2,1,1,1,1
1549-1-3,1,1,1,1
1549-2-3,1,1,1,1
1550-1-3,1,1,1,1
1550-1-5,1,1,1,1
1550-2-4,1,1,1,1
1550-2-6,1,1,1,1
1550-3-5,1,1,1,1
1550-4-6,1,1,1,1
1558-1-2,1,1,1,1
1558-1-3,1,1,1,1
1558-2-3,1,1,1,1
1582-1-3,1,1,1,1
1611-1-2,1,1,1,1
1638-2-7,0,,0,1
