Pair ID (Jfreechart),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,JDeodorant
4-1-2,1,1,1,1
51-1-2,1,1,1,1
52-1-2,1,1,1,1
52-1-3,1,1,0,1
52-2-3,1,1,0,1
85-1-2,1,1,1,1
95-1-2,0,,0,1
121-1-2,1,1,1,1
203-1-2,1,1,1,1
218-1-2,1,1,1,1
245-1-2,0,,0,1
253-1-2,1,1,0,1
254-1-2,0,,0,1
263-1-3,1,1,1,1
263-2-4,0,,0,1
273-1-2,1,1,1,1
285-1-2,1,1,0,1
287-2-3,1,1,1,1
300-2-3,1,1,1,1
334-1-2,1,1,1,1
351-1-2,1,1,1,1
377-1-2,1,1,1,1
400-1-2,1,1,1,1
419-1-2,1,1,0,1
431-1-2,1,1,1,1
454-1-2,1,1,1,1
471-1-2,1,0,0,1
495-2-3,1,0,0,1
509-1-2,1,1,1,1
531-1-2,1,1,1,1
571-1-2,1,1,1,1
572-1-2,0,,0,1
574-1-2,1,1,1,1
602-1-2,1,1,1,1
621-1-2,1,1,1,1
635-1-2,1,1,1,1
643-1-2,1,1,1,1
643-3-4,1,1,1,1
648-1-2,0,,0,1
669-1-2,1,1,0,1
740-1-2,1,1,1,1
743-1-2,1,1,1,1
749-1-2,1,1,1,1
754-2-3,1,1,1,1
761-2-3,1,1,1,1
763-1-2,1,1,1,1
774-1-2,1,1,1,1
775-1-2,1,1,1,1
830-1-2,1,1,1,1
850-1-2,1,1,1,1
852-2-3,1,1,1,1
872-1-2,1,1,1,1
872-1-3,1,1,1,1
872-1-4,1,1,1,1
872-2-3,1,1,1,1
872-2-4,1,1,1,1
872-3-4,1,1,1,1
884-2-3,1,1,1,1
901-1-2,1,1,1,1
904-1-2,1,1,1,1
904-1-3,1,1,1,1
904-1-4,0,,0,1
904-1-5,0,,0,1
904-1-6,0,,0,1
904-1-7,0,,0,1
904-2-3,0,,0,1
904-2-4,0,,0,1
904-2-5,0,,0,1
904-2-6,0,,0,1
904-2-7,0,,0,1
904-3-4,0,,0,1
904-3-5,0,,0,1
904-3-6,0,,0,1
904-3-7,0,,0,1
915-1-2,0,,0,1
925-1-2,1,0,0,1
934-1-2,1,1,1,1
934-1-3,1,1,1,1
934-1-4,1,1,1,1
934-2-3,0,,0,1
934-2-4,1,1,1,1
934-3-4,0,,0,1
943-1-2,1,1,1,1
947-1-2,1,1,1,1
947-1-3,1,1,1,1
947-1-4,1,1,1,1
947-2-3,1,1,1,1
947-2-4,1,1,1,1
947-3-4,1,1,1,1
953-1-2,1,0,0,1
961-1-2,1,1,1,1
1009-1-2,1,1,1,1
1023-1-2,1,1,1,1
1023-3-4,1,1,1,1
1035-2-3,1,1,1,1
1036-1-2,1,1,1,1
1037-1-2,1,1,1,1
1039-1-3,1,1,1,1
1039-5-7,1,1,1,1
1039-6-8,1,1,1,1
1040-1-2,1,1,1,1
1051-1-2,1,1,1,1
1055-1-2,1,1,1,1
1057-1-2,1,1,1,1
1057-1-3,1,1,0,1
1057-1-4,1,1,1,1
1057-1-5,1,1,1,1
1057-1-6,1,1,1,1
1057-1-7,1,1,1,1
1057-1-8,1,1,1,1
1057-1-9,1,1,1,1
1057-1-10,1,1,1,1
1057-1-11,1,1,0,1
1057-1-12,1,1,1,1
1057-2-3,1,1,0,1
1057-2-4,1,1,1,1
1057-2-5,1,1,1,1
1057-2-6,1,1,0,1
1057-2-7,1,1,0,1
1057-2-8,1,1,1,1
1057-2-9,1,1,0,1
1057-2-10,1,1,1,1
1057-2-11,1,1,1,1
1057-2-12,1,1,0,1
1057-3-4,1,1,0,1
1057-3-5,1,1,0,1
1057-3-6,1,1,1,1
1057-3-7,1,1,1,1
1057-3-8,1,1,0,1
1057-3-9,1,1,1,1
1057-3-10,1,1,0,1
1057-3-11,1,1,0,1
1057-3-12,1,1,1,1
1057-4-6,1,1,1,1
1057-4-7,0,,0,1
1057-4-8,1,1,1,1
1057-4-9,1,1,0,1
1057-4-10,1,1,1,1
1057-4-12,1,1,0,1
1057-5-6,1,1,0,1
1057-5-7,0,,0,1
1057-5-8,1,1,1,1
1057-5-9,1,1,0,1
1057-5-10,1,1,1,1
1057-5-11,1,1,0,1
1057-5-12,1,1,0,1
1057-6-7,1,1,1,1
1057-6-8,1,1,0,1
1057-6-9,1,1,1,1
1057-6-10,1,1,0,1
1057-6-11,1,1,0,1
1057-6-12,1,1,1,1
1057-7-8,1,1,0,1
1057-7-9,1,1,1,1
1057-7-10,1,1,0,1
1057-7-11,1,1,0,1
1057-7-12,1,1,1,1
1057-8-9,1,1,1,1
1057-8-10,1,1,1,1
1057-8-11,1,1,1,1
1057-8-12,1,1,0,1
1057-9-10,1,1,1,1
1057-9-11,0,,0,1
1057-9-12,1,1,1,1
1057-10-11,1,1,0,1
1057-10-12,1,1,1,1
1057-11-12,1,1,0,1
1067-1-2,0,,0,1
1091-1-2,1,1,1,1
1091-2-3,1,1,1,1
1108-1-2,1,1,0,1
1114-1-2,1,1,0,1
1115-1-2,1,1,1,1
1119-1-2,1,1,1,1
1119-1-3,1,1,1,1
1119-1-4,1,1,1,1
1119-2-3,1,1,1,1
1119-2-4,1,1,1,1
1119-3-4,1,1,1,1
1119-5-6,1,1,1,1
1119-5-7,1,1,1,1
1119-5-8,1,1,1,1
1119-6-7,1,1,1,1
1119-6-8,1,1,1,1
1119-7-8,1,1,1,1
1131-1-2,1,1,0,1
1142-1-2,1,1,1,1
1143-1-2,1,1,1,1
