Pair ID,Clone Type,GPT-4o,Jdeodorant
7.1.2,Type-3,0,1
7.1.3,Type-3,0,1
66-1-2,Type-3,0,1
66-1-3,Type-3,0,1
66-2-3,Type-2,1,1
111-1-2,Type-3,0,1
120-1-2,Type-3,0,1
124-1-2,Type-2,1,1
126-2-3,Type-3,0,1
132-1-2,Type-3,0,1
140-1-2,Type-3,0,1
154-1-2,Type-3,0,1
155-1-3,Type-3,0,1
166-1-3,Type-2,1,1
170-1-2,Type-3,0,1
181-1-2,Type-2,1,1
195-1-2,Type-3,0,1
195-1-3,Type-1,0,1
196-1-2,Type-2,1,1
199-1-2,Type-2,1,1
209-1-2,Type-3,0,1
209-1-3,Type-2,1,1
209-1-4,Type-2,1,1
209-2-3,Type-3,0,1
209-2-4,Type-3,0,1
242-2-3,Type-3,0,1
242-2-4,Type-3,0,1
242-3-4,Type-3,0,1
246-1-2,Type-2,1,1
260-1-2,Type-3,0,1
261-1-2,Type-1,0,1
274-1-3,Type-3,0,1
274-1-4,Type-3,0,1
274-3-4,Type-3,0,1
286-1-2,Type-2,1,1
286-1-3,Type-3,0,1
286-2-3,Type-3,0,1
292-1-2,Type-3,0,1
292-2-3,Type-3,0,1
292-2-4,Type-3,0,1
292-2-5,Type-3,0,1
292-4-5,Type-3,0,1
292-4-8,Type-3,0,1
292-4-10,Type-3,0,1
292-6-9,Type-3,0,1
292-8-10,Type-2,1,1
296-3-4,Type-3,0,1
296-3-5,Type-3,0,1
296-4-5,Type-3,0,1
297-1-3,Type-3,0,1
297-1-4,Type-3,0,1
297-2-3,Type-3,0,1
297-2-4,Type-3,0,1
297-3-4,Type-2,1,1
297-3-5,Type-2,1,1
297-4-5,Type-2,1,1
299-1-2,Type-2,1,1
305-1-2,Type-3,0,1
305-1-3,Type-3,0,1
305-1-5,Type-3,0,1
305-2-3,Type-3,0,1
305-2-5,Type-3,0,1
305-3-5,Type-3,0,1
321-1-3,Type-1,0,1
321-1-4,Type-3,0,1
321-2-3,Type-1,0,1
322-1-2,Type-3,0,1
322-1-4,Type-3,0,1
322-2-4,Type-3,0,1
322-2-5,Type-3,0,1
322-4-5,Type-3,0,1
332-1-2,Type-3,0,1
342-2-4,Type-3,0,1
489-1-2,Type-2,1,1
511-1-4,Type-3,0,1
511-2-3,Type-3,0,1
512-1-2,Type-3,0,1
537-1-2,Type-2,1,1
566-1-2,Type-2,1,1
599-1-2,Type-2,1,1
599-1-3,Type-2,1,1
599-1-4,Type-2,1,1
599-2-3,Type-2,1,1
599-3-4,Type-2,1,1
667-1-2,Type-3,0,1
698-1-2,Type-3,0,1
710-1-3,Type-2,1,1
710-2-3,Type-2,1,1
718-1-5,Type-2,1,1
718-1-6,Type-2,1,1
718-2-5,Type-3,0,1
718-2-6,Type-2,1,1
718-3-7,Type-2,1,1
718-3-8,Type-3,0,1
718-4-7,Type-3,0,1
718-4-8,Type-2,1,1
759-1-2,Type-2,1,1
759-1-4,Type-2,1,1
759-2-3,Type-2,1,1
759-3-4,Type-2,1,1
762-1-3,Type-2,1,1
762-1-5,Type-2,1,1
762-3-5,Type-2,1,1
762-3-6,Type-2,1,1
824-1-3,Type-3,0,1
824-1-5,Type-1,0,1
824-2-3,Type-3,0,1
824-2-4,Type-3,0,1
824-3-4,Type-3,0,1
824-3-5,Type-3,0,1
829-1-2,Type-2,1,1
837-1-2,Type-2,1,1
858-1-3,Type-3,0,1
858-1-4,Type-3,0,1
858-1-5,Type-3,0,1
858-1-6,Type-3,0,1
858-2-3,Type-2,1,1
858-2-4,Type-3,0,1
858-2-5,Type-3,0,1
858-2-6,Type-3,0,1
858-3-5,Type-2,1,1
858-3-6,Type-2,1,1
858-4-5,Type-2,1,1
858-4-6,Type-2,1,1
878-1-2,Type-2,1,1
878-1-3,Type-2,1,1
891-1-3,Type-2,1,1
891-1-4,Type-3,0,1
891-2-4,Type-3,0,1
892-1-2,Type-2,1,1
892-1-3,Type-2,1,1
900-1-4,Type-1,0,1
900-2-3,Type-1,0,1
907-1-3,Type-2,1,1
917-1-2,Type-2,1,1
948-1-2,Type-2,1,1
948-1-3,Type-2,1,1
948-2-3,Type-2,1,1
951-1-3,Type-3,0,1
951-2-3,Type-3,0,1
960-1-2,Type-2,1,1
