Pair ID,Clone Type,GPT-4o,JDeodorant
37-1-2,Type-3,0,1
37-1-3,Type-2,1,1
168-2-3,Type-3,0,1
200-1-2,Type-2,1,1
212-1-2,Type-2,1,1
216-1-2,Type-2,1,1
219-1-2,Type-3,0,1
227-1-2,Type-2,1,1
235-1-2,Type-2,1,1
248-1-2,Type-2,1,1
264-1-2,Type-2,1,1
268-1-2,Type-3,0,1
268-1-4,Type-2,1,1
268-2-4,Type-2,1,1
287-1-2,Type-1,0,1
298-1-2,Type-3,0,1
298-1-4,Type-2,1,1
298-2-4,Type-2,1,1
300-1-2,Type-1,0,1
309-1-2,Type-2,1,1
327-1-3,Type-2,1,1
327-1-4,Type-2,1,1
328-1-2,Type-2,1,1
354-1-2,Type-3,0,1
358-1-2,Type-3,0,1
375-1-2,Type-2,1,1
383-1-2,Type-2,1,1
384-1-2,Type-3,0,1
390-1-2,Type-2,1,1
415-1-2,Type-2,1,1
421-1-2,Type-3,0,1
460-1-2,Type-2,1,1
478-2-3,Type-3,0,1
478-3-4,Type-3,0,1
478-3-8,Type-3,0,1
478-3-10,Type-3,0,1
495-1-2,Type-2,1,1
495-1-3,Type-2,1,1
503-1-2,Type-2,1,1
503-1-3,Type-3,0,1
503-2-3,Type-3,0,1
504-1-3,Type-3,0,1
516-1-3,Type-3,0,1
516-1-4,Type-2,1,1
516-3-5,Type-2,1,1
516-4-5,Type-3,0,1
518-2-3,Type-3,0,1
518-3-7,Type-3,0,1
518-3-8,Type-3,0,1
518-3-14,Type-3,0,1
518-3-15,Type-3,0,1
522-1-2,Type-2,1,1
522-1-3,Type-3,0,1
522-1-4,Type-3,0,1
522-2-3,Type-3,0,1
522-2-4,Type-3,0,1
522-3-4,Type-2,1,1
523-1-2,Type-2,1,1
527-1-2,Type-3,0,1
527-2-3,Type-3,0,1
527-2-5,Type-3,0,1
527-2-6,Type-3,0,1
527-2-7,Type-3,0,1
527-2-9,Type-3,0,1
573-1-3,Type-2,1,1
573-2-3,Type-2,1,1
575-1-2,Type-2,1,1
598-1-2,Type-2,1,1
598-1-3,Type-3,0,1
598-1-4,Type-3,0,1
598-2-3,Type-3,0,1
598-2-4,Type-3,0,1
598-3-4,Type-2,1,1
603-1-5,Type-3,0,1
603-2-3,Type-3,0,1
603-2-4,Type-3,0,1
603-3-5,Type-3,0,1
610-1-2,Type-3,0,1
610-1-3,Type-3,0,1
611-1-2,Type-2,1,1
632-1-2,Type-1,0,1
641-2-3,Type-2,1,1
641-2-4,Type-2,1,1
652-1-2,Type-3,0,1
652-1-3,Type-3,0,1
657-1-2,Type-2,1,1
657-1-3,Type-1,0,1
657-1-4,Type-1,0,1
657-2-3,Type-2,1,1
657-2-4,Type-2,1,1
659-1-3,Type-2,1,1
659-1-4,Type-3,0,1
659-1-5,Type-2,1,1
659-2-3,Type-2,1,1
659-2-4,Type-2,1,1
659-2-5,Type-2,1,1
659-3-4,Type-3,0,1
659-3-5,Type-2,1,1
659-4-5,Type-2,1,1
660-1-2,Type-1,0,1
661-1-3,Type-2,1,1
661-1-4,Type-3,0,1
676-1-2,Type-2,1,1
678-2-3,Type-2,1,1
678-2-4,Type-2,1,1
683-1-2,Type-2,1,1
700-1-2,Type-2,1,1
700-1-3,Type-1,0,1
700-1-4,Type-1,0,1
700-2-3,Type-2,1,1
700-2-4,Type-2,1,1
745-2-3,Type-2,1,1
745-2-4,Type-2,1,1
754-1-2,Type-3,0,1
755-2-3,Type-2,1,1
755-2-4,Type-2,1,1
765-1-2,Type-2,1,1
796-1-2,Type-2,1,1
895-1-2,Type-2,1,1
945-1-2,Type-1,0,1
955-1-2,Type-2,1,1
963-1-2,Type-2,1,1
963-2-3,Type-1,0,1
969-2-3,Type-3,0,1
969-2-4,Type-3,0,1
969-3-4,Type-3,0,1
971-1-2,Type-3,0,1
974-1-2,Type-2,1,1
974-2-3,Type-2,1,1
980-1-2,Type-2,1,1
995-1-2,Type-3,0,1
1013-1-2,Type-3,0,1
1013-1-3,Type-3,0,1
1013-1-4,Type-3,0,1
1013-2-3,Type-3,0,1
1013-2-4,Type-3,0,1
1021-1-2,Type-3,0,1
1022-1-2,Type-2,1,1
1022-1-3,Type-2,1,1
1022-3-4,Type-2,1,1
1023-1-4,Type-2,1,1
1023-2-3,Type-2,1,1
1028-1-2,Type-2,1,1
1029-1-2,Type-3,0,1
1029-1-3,Type-2,1,1
1029-2-3,Type-2,1,1
1035-1-2,Type-2,1,1
1038-1-2,Type-3,0,1
1039-1-4,Type-3,0,1
1039-1-5,Type-3,0,1
1039-1-6,Type-3,0,1
1039-1-7,Type-3,0,1
1039-1-8,Type-3,0,1
1039-2-4,Type-2,1,1
1039-2-5,Type-3,0,1
1039-2-6,Type-3,0,1
1039-2-8,Type-3,0,1
1039-3-5,Type-3,0,1
1039-3-6,Type-3,0,1
1039-3-7,Type-3,0,1
1039-4-5,Type-3,0,1
1039-4-6,Type-3,0,1
1039-4-7,Type-2,1,1
1039-4-8,Type-3,0,1
1061-1-2,Type-2,1,1
1062-1-2,Type-2,1,1
1066-1-2,Type-2,1,1
1089-1-2,Type-2,1,1
1092-1-2,Type-1,0,1
1092-1-3,Type-3,0,1
1092-1-4,Type-2,1,1
1092-2-3,Type-3,0,1
1092-2-4,Type-3,0,1
1092-3-4,Type-2,1,1
1117-1-2,Type-2,1,1
1117-3-4,Type-2,1,1
1130-1-4,Type-3,0,1
1130-1-5,Type-3,0,1
1130-1-6,Type-2,1,1
1130-1-7,Type-3,0,1
1130-1-8,Type-3,0,1
1130-2-4,Type-2,1,1
1130-2-5,Type-3,0,1
1130-3-4,Type-3,0,1
1130-3-5,Type-3,0,1
1130-3-6,Type-3,0,1
1130-3-7,Type-3,0,1
1130-4-5,Type-3,0,1
1130-4-6,Type-3,0,1
1130-4-7,Type-2,1,1
1130-4-8,Type-3,0,1
1144-1-2,Type-3,0,1
1147-1-2,Type-3,0,1
1148-1-2,Type-3,0,1
1148-1-3,Type-3,0,1
1150-1-2,Type-2,1,1
1155-1-2,Type-2,1,1
1160-2-3,Type-3,0,1
1160-2-4,Type-3,0,1
1160-2-5,Type-3,0,1
1160-4-5,Type-2,1,1
1161-2-4,Type-2,1,1
1161-2-8,Type-2,1,1
1161-4-7,Type-2,1,1
1161-7-8,Type-2,1,1
1170-2-3,Type-2,1,1
1176-1-3,Type-3,0,1
1176-1-4,Type-3,0,1
1176-1-5,Type-3,0,1
