Pair ID,Clone Type,GPT-4o,Jdeodorant
82-1-2,Type-3,1,1
143-1-3,Type-3,1,1
143-1-4,Type-3,1,1
143-2-3,Type-3,1,1
143-2-4,Type-3,1,1
145-1-2,Type-3,1,1
158-1-2,Type-3,1,1
162-1-2,Type-3,1,1
240-1-3,Type-3,1,1
240-1-4,Type-3,1,1
240-2-3,Type-3,1,1
240-2-4,Type-3,1,1
641-1-2,Type-2,0,1
678-1-2,Type-2,0,1
745-1-2,Type-2,0,1
755-1-2,Type-3,1,1
797-1-3,Type-3,1,1
797-1-4,Type-3,1,1
797-2-3,Type-3,1,1
797-2-4,Type-3,1,1
813-1-2,Type-3,1,1
838-1-2,Type-4,0,1
842-1-2,Type-3,1,1
865-1-3,Type-3,1,1
865-1-4,Type-3,1,1
865-2-3,Type-3,1,1
865-2-4,Type-3,1,1
926-1-3,Type-3,1,1
926-1-4,Type-3,1,1
926-2-3,Type-3,1,1
926-2-4,Type-3,1,1
1072-1-2,Type-3,1,1
1108-1-3,Type-1,0,1
1108-1-4,Type-2,0,1
1108-2-3,Type-2,0,1
1108-2-4,Type-1,0,1
1161-1-2,Type-3,1,1
1161-3-4,Type-3,1,1
1161-4-5,Type-3,1,1
1161-6-7,Type-3,1,1
1161-8-9,Type-3,1,1
1161-8-10,Type-3,1,1
1374-1-3,Type-3,1,1
1374-2-3,Type-3,1,1
1415-1-2,Type-3,1,1
1415-3-4,Type-3,1,1
1595-1-2,Type-3,1,1
1629-1-2,Type-3,1,1
1714-3-4,Type-3,1,1
1729-2-4,Type-3,1,1
1729-2-5,Type-3,1,1
1729-3-4,Type-3,1,1
1729-3-5,Type-3,1,1
1757-1-2,Type-3,1,1
1757-1-3,Type-3,1,1
