Pair ID,Clone Type,GPT-4o,Jdeodorant
7.2.3,Type-3,0,1
13-1-2,Type-3,0,1
41-1-2,Type-3,0,1
48-1-2,Type-3,0,1
135-1-2,Type-3,0,1
139-1-2,Type-2,1,1
143-1-2,Type-3,0,1
143-3-4,Type-3,0,1
144-1-2,Type-3,0,1
160-1-2,Type-3,0,1
161-1-2,Type-3,0,1
169-1-2,Type-3,0,1
182-1-2,Type-3,0,1
188-3-4,Type-3,0,1
195-2-3,Type-3,0,1
210-1-3,Type-1,0,1
266-1-2,Type-3,0,1
266-1-3,Type-3,0,1
266-2-3,Type-3,0,1
295-1-2,Type-3,0,1
306-1-2,Type-3,0,1
307-2-3,Type-3,0,1
307-4-5,Type-3,0,1
336-1-2,Type-3,0,1
378-1-2,Type-3,0,1
412-1-2,Type-3,0,1
414-1-2,Type-3,0,1
425-2-3,Type-2,1,1
433-1-2,Type-1,0,1
442-1-2,Type-3,0,1
446-1-2,Type-2,1,1
452-1-2,Type-2,1,1
458-1-2,Type-3,0,1
496-1-2,Type-3,0,1
508-1-2,Type-1,0,1
510-1-2,Type-3,0,1
510-1-3,Type-3,0,1
510-1-4,Type-3,0,1
510-1-5,Type-3,0,1
510-1-6,Type-3,0,1
510-2-3,Type-3,0,1
510-2-4,Type-3,0,1
510-2-5,Type-3,0,1
510-2-6,Type-3,0,1
510-3-4,Type-3,0,1
510-3-5,Type-3,0,1
510-3-6,Type-3,0,1
510-4-5,Type-3,0,1
510-4-6,Type-1,0,1
510-5-6,Type-1,0,1
511-1-2,Type-1,0,1
511-3-4,Type-1,0,1
512-2-3,Type-3,0,1
525-1-2,Type-2,1,1
589-1-2,Type-3,0,1
619-1-2,Type-1,0,1
627-1-2,Type-3,0,1
627-3-4,Type-2,1,1
644-1-2,Type-3,0,1
645-1-2,Type-3,0,1
647-1-2,Type-2,1,1
650-1-2,Type-3,0,1
665-1-2,Type-3,0,1
680-1-2,Type-2,1,1
695-1-2,Type-3,0,1
705-2-3,Type-3,0,1
718-1-2,Type-3,0,1
718-3-4,Type-3,0,1
718-5-6,Type-3,0,1
718-7-8,Type-3,0,1
772-1-2,Type-3,0,1
781-1-2,Type-3,0,1
789-1-2,Type-2,1,1
789-1-3,Type-2,1,1
789-2-3,Type-2,1,1
821-1-2,Type-3,0,1
824-1-2,Type-3,0,1
824-4-5,Type-3,0,1
858-1-2,Type-2,1,1
858-5-6,Type-2,1,1
874-1-2,Type-3,0,1
894-1-2,Type-2,1,1
898-1-2,Type-2,1,1
899-2-3,Type-3,0,1
902-1-2,Type-3,0,1
911-1-2,Type-2,1,1
940-1-2,Type-2,1,1
951-1-2,Type-2,1,1
962-1-2,Type-2,1,1
970-1-2,Type-2,1,1
976-1-2,Type-2,1,1
981-1-2,Type-2,1,1
981-4-5,Type-2,1,1
989-1-2,Type-2,1,1
1011-1-2,Type-3,0,1
1068-1-2,Type-2,1,1
1075-1-2,Type-2,1,1
1098-1-2,Type-3,0,1
1099-1-2,Type-3,0,1
1102-1-2,Type-3,0,1
1113-1-2,Type-1,0,1
1113-1-3,Type-1,0,1
1113-2-3,Type-2,1,1
1116-1-2,Type-2,1,1
1116-1-3,Type-2,1,1
1118-1-2,Type-2,1,1
1138-1-2,Type-2,1,1
1138-3-4,Type-2,1,1
1138-3-5,Type-2,1,1
1138-4-5,Type-2,1,1
1161-3-5,Type-2,1,1
1161-9-10,Type-2,1,1
1164-1-2,Type-2,1,1
1166-1-2,Type-2,1,1
1230-1-2,Type-1,0,1
1250-1-2,Type-2,1,1
1250-3-4,Type-2,1,1
1250-3-5,Type-2,1,1
1250-3-7,Type-2,1,1
1250-3-9,Type-2,1,1
1250-3-11,Type-2,1,1
1250-3-13,Type-2,1,1
1254-1-2,Type-2,1,1
1254-1-3,Type-2,1,1
1254-1-4,Type-2,1,1
1254-2-3,Type-2,1,1
1254-2-4,Type-2,1,1
1254-3-4,Type-2,1,1
1254-5-6,Type-2,1,1
1254-5-7,Type-2,1,1
1254-6-7,Type-2,1,1
1256-1-2,Type-2,1,1
1267-2-3,Type-3,0,1
1267-2-4,Type-2,1,1
1267-2-5,Type-2,1,1
